战争片,#genre#
南京东1937,https://v1.qdhdcate.com/yyv1/202308/20/xesdhjSKjE2/video/index.m3u8
奇袭地道战,https://v1.qdhdcate.com/yyv1/202308/20/QHQim7czdV2/video/index.m3u8
太行山上,https://v1.qdhdcate.com/yyv1/202308/20/6pzhHb4BRB2/video/index.m3u8
列兵查林,https://v1.qdhdcate.com/yyv1/202308/20/NR1fzFCGr12/video/index.m3u8
宛城之战,https://v1.qdhdcate.com/yyv1/202308/20/yi7kL9F31y2/video/index.m3u8
吃鸡战场,https://v1.qdhdcate.com/yyv1/202308/20/HVRDfHCEtR2/video/index.m3u8
卡拉什尼科夫,https://v1.qdhdcate.com/yyv1/202308/20/1v3a3MChSc2/video/index.m3u8
利迪策大屠杀,https://v1.qdhdcate.com/yyv1/202308/20/VZMV9XaQEv2/video/index.m3u8
在另一边,https://v1.qdhdcate.com/yyv1/202308/20/xnx9JQ39Gi2/video/index.m3u8
动物奇缘,https://v1.qdhdcate.com/yyv1/202308/20/e2fCkC5Ud32/video/index.m3u8
北京55日,https://v1.qdhdcate.com/yyv1/202308/20/5KqkT2htjZ2/video/index.m3u8
密战,https://v1.qdhdcate.com/yyv1/202308/20/Hc0edffJfr2/video/index.m3u8
大幻影,https://v1.qdhdcate.com/yyv1/202308/20/r2dJTnRgft2/video/index.m3u8
凯萨里,https://v1.qdhdcate.com/yyv1/202308/20/CZXrNMx5ZG2/video/index.m3u8
十五贯,https://v1.qdhdcate.com/yyv1/202308/20/772LTCD9Tt2/video/index.m3u8
地道战,https://v1.qdhdcate.com/yyv1/202308/20/XqZ1A31QRx2/video/index.m3u8
大路 意大利版,https://v1.qdhdcate.com/yyv1/202308/20/G7ML3usXdA2/video/index.m3u8
动乱1980,https://v1.qdhdcate.com/yyv1/202308/20/i0XvxgNbcG2/video/index.m3u8
参孙的儿子,https://v1.qdhdcate.com/yyv1/202308/20/dQDpLX0YR52/video/index.m3u8
奇袭,https://v1.qdhdcate.com/yyv1/202308/20/Tb7s4BFzRz2/video/index.m3u8
卡贾基,https://v1.qdhdcate.com/yyv1/202308/20/04isyVSEWD2/video/index.m3u8
平凡岁月的魅力,https://v1.qdhdcate.com/yyv1/202308/20/fxMg1sEXQC2/video/index.m3u8
廓尔喀：勇气之下,https://v1.qdhdcate.com/yyv1/202308/20/4MiD53F4gT2/video/index.m3u8
战血染征袍,https://v1.qdhdcate.com/yyv1/202308/20/xhU1nRuZQc2/video/index.m3u8
抗日奇侠之武功队,https://v1.qdhdcate.com/yyv1/202308/20/yEukjuaATp2/video/index.m3u8
忠烈杨家将,https://v1.qdhdcate.com/yyv1/202308/20/j0STSfBY5S2/video/index.m3u8
我们来自未来2,https://v1.qdhdcate.com/yyv1/202308/20/2cmSAp4xcL2/video/index.m3u8
战狼特攻队,https://v1.qdhdcate.com/yyv1/202308/20/NMm88wk7nM2/video/index.m3u8
战境：火线突围,https://v1.qdhdcate.com/yyv1/202308/20/ztiizAgNT52/video/index.m3u8
战地九飞龙,https://v1.qdhdcate.com/yyv1/202308/20/b8PeswCyBz2/video/index.m3u8
战时冬天,https://v1.qdhdcate.com/yyv1/202308/20/aGsmYA8UJA2/video/index.m3u8
搜索并摧毁,https://v1.qdhdcate.com/yyv1/202308/20/erA1CbxxSH2/video/index.m3u8
小兵张嘎,https://v1.qdhdcate.com/yyv1/202308/20/zvfFew6BJ62/video/index.m3u8
平原游击队,https://v1.qdhdcate.com/yyv1/202308/20/ZHLj1GbuyR2/video/index.m3u8
